refmet_name,refmet_id,super_class,main_class,sub_class,diet_source_reported_names,diet_analysis_ids,diet_analysis_feature_ids,exercise_source_reported_names,exercise_analysis_ids,exercise_analysis_feature_ids,mapping_status,mapping_confidence,mapping_evidence,exercise_standard_collision,include_in_conservative_biological_overlap,decision_reason
3-Hydroxydecanoic acid,RM0138800,Fatty Acyls,Fatty acids,Hydroxy FA,3-Hydroxydecanoic acid,AN002536,ST001521|AN002536|ME367927,3-Hydroxycapric acid(FFA(10:0-OH),AN005484,ST003348|AN005484|ME875623,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
3-Hydroxyoctanoic acid,RM0139998,Fatty Acyls,Fatty acids,Hydroxy FA,3-Hydroxyoctanoic acid,AN002536,ST001521|AN002536|ME367924,3-Hydroxyoctanoic acid(FFA(8:0-OH),AN005484,ST003348|AN005484|ME875596,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
3-Indolepropionic acid,RM0136180,Alkaloids,Tryptophan alkaloids,Indolecarboxylic acids,3-Indolepropionic acid,AN002535,ST001521|AN002535|ME367880,Indole-3-propionic acid,AN005483,ST003348|AN005483|ME875315,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
4-Acetamidobutanoic acid,RM0042346,Organic acids,Amino acids and peptides,Amino acids,4-Acetamidobutanoic acid,AN002533,ST001521|AN002533|ME367559,4-Acetamidobutanoic acid,AN005483,ST003348|AN005483|ME875284,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
4-Hydroxystyrene,RM0161661,Benzenoids,Benzenes,Styrenes,4-Hydroxystyrene,AN002536,ST001521|AN002536|ME367990,4-Vinylphenol sulfate,AN005484,ST003348|AN005484|ME875632,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
4-Pyridoxic acid,RM0030084,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,4-Pyridoxic acid,AN002535,ST001521|AN002535|ME367864,4-Pyridoxic acid,AN005483,ST003348|AN005483|ME875560,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
7-Methylguanine,RM0156417,Nucleic acids,Purines,Hypoxanthines,7-Methylguanine,AN002533,ST001521|AN002533|ME367566,7-Methylguanine,AN005483,ST003348|AN005483|ME875304,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
"9,10-DiHOME",RM0074128,Fatty Acyls,Octadecanoids,DiHOME,"9,10-DiHOME",AN002536,ST001521|AN002536|ME367917,"9,10-DHOME",AN005484,ST003348|AN005484|ME875745,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Adenosine,RM0135870,Nucleic acids,Purines,Purine ribonucleosides,Adenosine,AN002533,ST001521|AN002533|ME367483,Adenosine,AN005483,ST003348|AN005483|ME875399,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Alanine,RM0135898,Organic acids,Amino acids and peptides,Amino acids,Alanine,AN002533,ST001521|AN002533|ME367439,Alanine+Sarcosine,AN005483,ST003348|AN005483|ME875552,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Allantoin,RM0118303,Organoheterocyclic compounds,Cyclic ureas,Ureides,Allantoin,AN002533,ST001521|AN002533|ME367468,Allantoin,AN005484,ST003348|AN005484|ME875594,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
alpha-Linolenic acid,RM0152834,Fatty Acyls,Fatty acids,Unsaturated FA,alpha-Linolenic acid,AN002536,ST001521|AN002536|ME367943,Alpha-Linolenic acid(FFA(18:3n3),AN005484,ST003348|AN005484|ME875701,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
alpha-N-Phenylacetylglutamine,RM0056200,Organic acids,Amino acids and peptides,Amino acids,alpha-N-Phenylacetylglutamine,AN002533,ST001521|AN002533|ME367614,Phenylacetylglutamine,AN005483,ST003348|AN005483|ME875295,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Aminoadipic acid,RM0049220,Organic acids,Amino acids and peptides,Amino acids,Aminoadipic acid,AN002535,ST001521|AN002535|ME367889,Aminoadipic acid,AN005484,ST003348|AN005484|ME875597,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Arachidic acid,RM0137828,Fatty Acyls,Fatty acids,Saturated FA,Arachidic acid,AN002536,ST001521|AN002536|ME367956,Arachidic acid(FFA(20:0),AN005484,ST003348|AN005484|ME875738,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Arachidonic acid,RM0153612,Fatty Acyls,Fatty acids,Unsaturated FA,Arachidonic acid,AN002536,ST001521|AN002536|ME367952,Arachidonic acid(FFA(20:4),AN005484,ST003348|AN005484|ME875728,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Arginine,RM0135963,Organic acids,Amino acids and peptides,Amino acids,Arginine,AN002533,ST001521|AN002533|ME367447,L-Arginine,AN005483,ST003348|AN005483|ME875428,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Asparagine,RM0135724,Organic acids,Amino acids and peptides,Amino acids,Asparagine,AN002533,ST001521|AN002533|ME367444,L-Asparagine,AN005483,ST003348|AN005483|ME875549,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Aspartic acid,RM0135905,Organic acids,Amino acids and peptides,Amino acids,Aspartic acid,AN002535,ST001521|AN002535|ME367888,L-Aspartic acid,AN005483,ST003348|AN005483|ME875544,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Azelaic acid,RM0153048,Fatty Acyls,Fatty acids,Dicarboxylic acids,Azelaic acid,AN002535; AN002536,ST001521|AN002535|ME367899; ST001521|AN002536|ME367984,Azelaic acid(FFA(9:0-DC),AN005484,ST003348|AN005484|ME875622,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Betaine,RM0135869,Organic acids,Amino acids and peptides,Amino acids,Betaine,AN002533,ST001521|AN002533|ME367475,Betaine,AN005483,ST003348|AN005483|ME875259,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Bilirubin,RM0135872,Organoheterocyclic compounds,Bilirubins,Bilirubins,Bilirubin,AN002533,ST001521|AN002533|ME367570,Bilirubin,AN005483,ST003348|AN005483|ME875558,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Biliverdin,RM0136810,Organoheterocyclic compounds,Bilirubins,Bilirubins,Biliverdin,AN002533,ST001521|AN002533|ME367607,Biliverdin; Biliverdin isomer1; Biliverdin isomer2; Biliverdin isomer3,AN005483,ST003348|AN005483|ME875533; ST003348|AN005483|ME875568; ST003348|AN005483|ME875569; ST003348|AN005483|ME875570,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Caffeine,RM0032992,Nucleic acids,Purines,Xanthines,Caffeine,AN002533,ST001521|AN002533|ME367608,Caffeine,AN005483,ST003348|AN005483|ME875337,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 10:0,RM0153849,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(10:0),AN002533,ST001521|AN002533|ME367505,Decanoylcarnitine(AcCa(10:0),AN005483,ST003348|AN005483|ME875439,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 12:1,RM0154155,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(12:1),AN002533,ST001521|AN002533|ME367508,Dodecenoylcarnitine(AcCa(12:1),AN005483,ST003348|AN005483|ME875447,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 14:0,RM0154013,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(14:0),AN002533,ST001521|AN002533|ME367509,Tetradecanoylcarnitine(AcCa(14:0),AN005483,ST003348|AN005483|ME875458,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 14:1,RM0154190,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(14:1),AN002533,ST001521|AN002533|ME367510,Tetradecenoylcarnitine(AcCa(14:1),AN005483,ST003348|AN005483|ME875457,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 14:2,RM0154069,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(14:2),AN002533,ST001521|AN002533|ME367511,Tetradecadiencarnitine(AcCa(14:2) 1,AN005483,ST003348|AN005483|ME875291,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 16:0,RM0153848,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(16:0),AN002533,ST001521|AN002533|ME367512,Hexadecenoylcarnitine(AcCa(16:1); Palmitoylcarnitine(AcCa(16:0),AN005483,ST003348|AN005483|ME875464; ST003348|AN005483|ME875465,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 18:2,RM0154158,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(18:2),AN002533,ST001521|AN002533|ME367515,Linoleylcarnitine(AcCa(18:2),AN005483,ST003348|AN005483|ME875467,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 2:0,RM0154009,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(2:0),AN002533,ST001521|AN002533|ME367493,L-Acetylcarnitine(AcCa(2:0),AN005483,ST003348|AN005483|ME875342,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 3:0,RM0154041,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(3:0),AN002533,ST001521|AN002533|ME367494,Propionylcarnitine(AcCa(3:0),AN005483,ST003348|AN005483|ME875352,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 4:0,RM0153847,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(4:0),AN002533,ST001521|AN002533|ME367496,Butyrylcarnitine(AcCa(4:0),AN005483,ST003348|AN005483|ME875369,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 6:0,RM0153846,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(6:0),AN002533,ST001521|AN002533|ME367501,Hexanoylcarnitine(AcCa(6:0),AN005483,ST003348|AN005483|ME875393,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 8:0,RM0154093,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(8:0),AN002533,ST001521|AN002533|ME367503,Octanoylcarnitine(AcCa(8:0),AN005483,ST003348|AN005483|ME875418,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR 9:0,RM0153881,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(9:0),AN002533,ST001521|AN002533|ME367504,Nonanoylcarnitine(AcCa(9:0),AN005483,ST003348|AN005483|ME875430,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
CAR DC5:0,RM0153962,Fatty Acyls,Fatty esters,Acyl carnitines,CAR(DC5:0),AN002533,ST001521|AN002533|ME367500,Glutarylcarnitine(AcCa(5:0-DC),AN005483,ST003348|AN005483|ME875402,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Carnitine,RM0008606,Organic nitrogen compounds,Carnitines,Carnitines,Carnitine,AN002533,ST001521|AN002533|ME367492,L-Carnitine,AN005483,ST003348|AN005483|ME875301,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Choline,RM0028739,Organic nitrogen compounds,Cholines,Cholines,Choline,AN002533,ST001521|AN002533|ME367476,Choline,AN005483,ST003348|AN005483|ME875254,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
cis-Erucic acid,RM0153624,Fatty Acyls,Fatty acids,Unsaturated FA,cis-Erucic acid,AN002536,ST001521|AN002536|ME367961,Erucic acid(FFA(22:1n9),AN005484,ST003348|AN005484|ME875758,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Citrulline,RM0136022,Organic acids,Amino acids and peptides,Amino acids,Citrulline,AN002533,ST001521|AN002533|ME367458,Citrulline,AN005483,ST003348|AN005483|ME875333,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Corticosterone,RM0126032,Sterol Lipids,Steroids,C21 Steroids,Corticosterone,AN002535,ST001521|AN002535|ME367845,Corticosterone,AN005484,ST003348|AN005484|ME875762,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Cotinine,RM0040469,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,Cotinine,AN002533,ST001521|AN002533|ME367486,Cotinine,AN005483,ST003348|AN005483|ME875317,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Creatine,RM0135876,Organic acids,Amino acids and peptides,Amino acids,Creatine,AN002533,ST001521|AN002533|ME367479,Creatine,AN005483,ST003348|AN005483|ME875269,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Creatinine,RM0028430,Organoheterocyclic compounds,Azoles,Imidazolines,Creatinine,AN002533,ST001521|AN002533|ME367480,Creatinine,AN005483,ST003348|AN005483|ME875422,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Cytosine,RM0050550,Nucleic acids,Pyrimidines,Pyrimidones,Cytosine,AN002533,ST001521|AN002533|ME367484,Cytosine,AN005483,ST003348|AN005483|ME875255,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Deoxycholic acid,RM0126048,Sterol Lipids,Bile acids,C24 bile acids,Deoxycholic acid,AN002536,ST001521|AN002536|ME367965,Deoxycholic acid; Deoxycholic acid isomer 1; Deoxycholic acid isomer 2; Deoxycholic acid isomer 3,AN005484,ST003348|AN005484|ME875781; ST003348|AN005484|ME875787; ST003348|AN005484|ME875788; ST003348|AN005484|ME875789,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Dimethylarginine,RM0131870,Organic acids,Amino acids and peptides,Amino acids,Dimethylarginine,AN002533,ST001521|AN002533|ME367465,ADMA+SDMA,AN005483,ST003348|AN005483|ME875339,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Dodecanedioic acid,RM0153694,Fatty Acyls,Fatty acids,Dicarboxylic acids,Dodecanedioic acid,AN002536,ST001521|AN002536|ME367933,Dodecanedioic acid(FFA(12:0-DC),AN005484,ST003348|AN005484|ME875652,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Eicosanedioic acid,RM0149936,Fatty Acyls,Fatty acids,Dicarboxylic acids,Eicosanedioic acid,AN002536,ST001521|AN002536|ME367962,Eicosanedioic acid(FFA(20:0-DC),AN005484,ST003348|AN005484|ME875760,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Eicosapentaenoic acid,RM0151646,Fatty Acyls,Fatty acids,Unsaturated FA,Eicosapentaenoic acid,AN002535; AN002536,ST001521|AN002535|ME367855; ST001521|AN002536|ME367951,Eicosapentaenoic acid(FFA(20:5),AN005484,ST003348|AN005484|ME875727,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
